Flight_number,Code,Amount,Restrictions
AA1000,Coach,361,Non-refundable; changes with fee
AA1000,Business,650,Refundable with fee; priority boarding
AA1000,First Class,939,Refundable; lounge access where available
AA1002,Coach,283,Non-refundable; changes with fee
AA1002,Business,509,Refundable with fee; priority boarding
AA1002,First Class,736,Refundable; lounge access where available
AA1004,Coach,276,Non-refundable; changes with fee
AA1004,Business,497,Refundable with fee; priority boarding
AA1004,First Class,718,Refundable; lounge access where available
AA1005,Coach,320,Non-refundable; changes with fee
AA1005,Business,576,Refundable with fee; priority boarding
AA1005,First Class,832,Refundable; lounge access where available
AA1006,Coach,176,Non-refundable; changes with fee
AA1006,Business,317,Refundable with fee; priority boarding
AA1006,First Class,458,Refundable; lounge access where available
AA1007,Coach,217,Non-refundable; changes with fee
AA1007,Business,391,Refundable with fee; priority boarding
AA1007,First Class,564,Refundable; lounge access where available
AA1009,Coach,182,Non-refundable; changes with fee
AA1009,Business,328,Refundable with fee; priority boarding
AA1009,First Class,473,Refundable; lounge access where available
AA1010,Coach,215,Non-refundable; changes with fee
AA1010,Business,387,Refundable with fee; priority boarding
AA1010,First Class,559,Refundable; lounge access where available
AA1012,Coach,311,Non-refundable; changes with fee
AA1012,Business,560,Refundable with fee; priority boarding
AA1012,First Class,809,Refundable; lounge access where available
AA1013,Coach,290,Non-refundable; changes with fee
AA1013,Business,522,Refundable with fee; priority boarding
AA1013,First Class,754,Refundable; lounge access where available
AA1014,Coach,386,Non-refundable; changes with fee
AA1014,Business,695,Refundable with fee; priority boarding
AA1014,First Class,1004,Refundable; lounge access where available
AA1015,Coach,212,Non-refundable; changes with fee
AA1015,Business,382,Refundable with fee; priority boarding
AA1015,First Class,551,Refundable; lounge access where available
AA1016,Coach,170,Non-refundable; changes with fee
AA1016,Business,306,Refundable with fee; priority boarding
AA1016,First Class,442,Refundable; lounge access where available
AA1017,Coach,177,Non-refundable; changes with fee
AA1017,Business,319,Refundable with fee; priority boarding
AA1017,First Class,460,Refundable; lounge access where available
AA1019,Coach,242,Non-refundable; changes with fee
AA1019,Business,436,Refundable with fee; priority boarding
AA1019,First Class,629,Refundable; lounge access where available
AA1020,Coach,188,Non-refundable; changes with fee
AA1020,Business,338,Refundable with fee; priority boarding
